Engagement_ID,Alumni_ID,Event_ID,Participation_Score,Feedback_Text,Checkin_Method,Attendance_Status,Feedback_Rating,Survey_Completed,Hours_Spent,Registered_Flag,RSVP_Date,Followup_Sent,Followup_Response,Badge_Earned,Certificate_Issued,Photo_Consent,Comments,Created_At,Updated_At
1,300,150,93,Great networking opportunity,QR,Attended,1,No,0.83,Yes,2025-10-03,No,No,Attendee,No,Yes,Great panelists,2022-03-27,2024-11-26
2,959,303,98,Helpful for interviews,QR,Attended,3,No,1.28,Yes,2018-04-09,Yes,Later,Attendee,No,No,Good content,2020-12-03,2024-07-27
3,11,677,57,Helpful for interviews,QR,No-Show,5,No,1.82,Yes,2016-11-18,Yes,No,Volunteer,No,Yes,Looking for internship,2019-08-04,2022-05-04
4,409,251,87,Helpful for interviews,Kiosk,No-Show,1,Yes,1.12,Yes,2017-07-02,No,No,Speaker,No,Yes,Looking for internship,2019-02-05,2017-09-05
5,948,427,86,Relevant content,Manual,Attended,3,Yes,1.65,Yes,2017-10-05,No,Later,Volunteer,No,No,Good content,2020-09-04,2024-11-22
6,856,297,78,Informative session,QR,Cancelled,4,Yes,1.2,Yes,2018-09-23,No,Later,Speaker,Yes,No,Would attend again,2024-02-01,2025-11-14
7,234,538,60,Informative session,Manual,No-Show,1,Yes,1.76,Yes,2020-03-12,Yes,Yes,Mentor,Yes,Yes,Would attend again,2023-08-24,2022-11-02
8,78,486,78,Good alumni connections,Kiosk,Attended,5,Yes,1.88,Yes,2022-05-15,No,Yes,Attendee,No,No,Good content,2015-10-10,2020-02-19
9,174,313,83,Great networking opportunity,Kiosk,No-Show,1,Yes,0.93,Yes,2025-02-15,Yes,Later,Volunteer,No,Yes,Would attend again,2016-11-15,2015-07-10
10,964,827,64,Great networking opportunity,Manual,Attended,4,No,0.25,Yes,2020-03-14,Yes,Yes,Mentor,Yes,Yes,Looking for internship,2019-11-12,2020-07-18
11,771,884,99,Met potential employers,Manual,Cancelled,1,No,0.25,Yes,2021-10-06,No,Later,Speaker,Yes,No,Would attend again,2018-06-26,2024-02-17
12,720,623,100,Good alumni connections,Manual,No-Show,5,No,2.86,Yes,2019-08-25,No,No,Speaker,Yes,No,Looking for internship,2022-07-24,2018-06-16
13,165,820,74,Helpful for interviews,Manual,Attended,3,No,1.27,Yes,2025-01-31,Yes,Yes,Speaker,Yes,No,Good content,2025-11-24,2024-09-21
14,109,201,60,Good alumni connections,Manual,Attended,3,No,0.72,Yes,2021-11-13,No,Yes,Mentor,Yes,No,Good content,2016-05-01,2018-06-10
15,794,937,74,Average experience,Kiosk,Attended,3,Yes,1.22,Yes,2021-03-28,No,Later,Volunteer,No,Yes,Good content,2022-03-13,2023-09-22
16,598,376,76,Average experience,Kiosk,Cancelled,4,Yes,1.47,Yes,2023-02-04,Yes,Later,Mentor,No,No,Would attend again,2019-02-09,2023-10-21
17,543,317,52,Informative session,Manual,Attended,4,Yes,2.38,Yes,2019-12-09,No,Later,Volunteer,Yes,Yes,Looking for internship,2017-08-15,2017-06-21
18,383,293,87,Relevant content,Kiosk,No-Show,1,No,0.25,Yes,2022-06-10,Yes,No,Speaker,Yes,Yes,Would attend again,2015-12-19,2025-07-31
19,852,703,100,Average experience,Manual,Attended,1,No,1.79,Yes,2017-04-04,No,Yes,Mentor,Yes,No,Good content,2025-12-23,2019-02-05
20,197,282,83,Great networking opportunity,Kiosk,Attended,1,No,1.29,Yes,2025-08-25,Yes,Yes,Attendee,No,No,Looking for internship,2018-08-18,2016-04-25
21,254,53,76,Informative session,Kiosk,Cancelled,2,Yes,1.98,Yes,2017-08-24,No,Yes,Attendee,No,Yes,Great panelists,2018-11-02,2017-07-16
22,344,796,91,Average experience,QR,Attended,5,No,1.21,Yes,2022-07-17,Yes,Yes,Speaker,No,Yes,Looking for internship,2021-04-06,2016-08-24
23,215,265,68,Relevant content,Manual,Cancelled,4,No,0.35,Yes,2025-10-17,Yes,Later,Attendee,No,Yes,Looking for internship,2016-04-04,2025-08-28
24,655,578,85,Informative session,Kiosk,Cancelled,4,Yes,0.99,Yes,2016-08-20,No,Yes,Speaker,No,Yes,Looking for internship,2020-10-02,2015-05-29
25,471,937,94,Relevant content,Manual,No-Show,5,No,2.15,Yes,2019-10-21,Yes,Yes,Volunteer,Yes,No,Great panelists,2021-07-13,2018-12-09
26,248,30,74,Helpful for interviews,Manual,No-Show,5,Yes,1.03,Yes,2019-04-28,No,Later,Volunteer,No,Yes,Good content,2018-02-10,2023-11-16
27,547,324,90,Relevant content,Kiosk,Attended,3,No,1.5,Yes,2022-06-26,Yes,Later,Attendee,Yes,No,Would attend again,2015-10-28,2023-10-09
28,554,166,95,Average experience,Manual,No-Show,4,No,1.59,Yes,2021-12-25,Yes,No,Speaker,Yes,No,Good content,2022-09-25,2022-09-29
29,32,105,44,Informative session,Kiosk,No-Show,1,No,0.96,Yes,2018-11-27,No,Later,Volunteer,Yes,Yes,Would attend again,2025-05-04,2025-11-22
30,497,635,62,Helpful for interviews,Manual,Attended,2,Yes,2.11,Yes,2017-03-25,Yes,Yes,Speaker,Yes,No,Looking for internship,2022-10-11,2018-09-11
31,556,235,93,Relevant content,Manual,No-Show,1,Yes,1.06,Yes,2022-01-04,No,Yes,Attendee,Yes,Yes,Good content,2016-07-10,2018-04-05
32,792,18,96,Good alumni connections,QR,Attended,5,Yes,1.84,Yes,2019-01-24,Yes,Yes,Attendee,No,No,Looking for internship,2022-03-09,2018-07-06
33,986,660,74,Good alumni connections,Kiosk,Cancelled,4,Yes,1.63,Yes,2018-09-26,No,Yes,Mentor,No,No,Good content,2022-08-14,2025-12-02
34,206,877,84,Met potential employers,Manual,Cancelled,1,No,2.37,Yes,2018-03-10,Yes,No,Speaker,Yes,Yes,Looking for internship,2024-09-10,2021-09-10
35,496,352,75,Relevant content,Manual,Attended,1,Yes,1.92,Yes,2015-11-06,Yes,Yes,Volunteer,Yes,Yes,Good content,2024-11-15,2024-12-11
36,859,459,57,Met potential employers,QR,No-Show,3,Yes,1.38,Yes,2019-08-13,Yes,Later,Attendee,Yes,No,Great panelists,2025-03-06,2016-04-23
37,619,168,67,Relevant content,Manual,No-Show,4,No,0.25,Yes,2022-07-18,Yes,Yes,Mentor,No,No,Would attend again,2019-06-08,2025-05-01
38,290,234,78,Average experience,QR,Attended,3,No,1.68,Yes,2017-05-17,Yes,No,Volunteer,Yes,Yes,Great panelists,2024-09-05,2018-03-12
