Job_ID,Alumni_ID,Employer_ID,Role,Technology,Employment_Type,Work_Auth_At_Hire,Remote_Flag,City,State,Country,Start_Date,End_Date,Job_Portal,Salary_USD,Bonus_USD,Performance_Rating,Manager_Name,Team,Offer_Accept_Days
1,300,150,Salesforce Developer,"React, .NET",Part-Time,STEM-OPT,Yes,Austin,TX,USA,2016-03-31,2017-09-18,Handshake,120010,4625,3,Molly Cole,QA,16
2,11,896,Business Analyst,"Node.js, Tableau, .NET",Part-Time,Citizen,Yes,Rochester,NY,USA,2021-02-10,2022-12-13,Glassdoor,92967,2905,3,David Pineda,Platform,12
3,468,635,QA Engineer,Tableau,Full-Time,CPT,No,San Jose,CA,USA,2023-08-02,2024-05-29,Glassdoor,110497,5885,4,Brian Thompson,Data,12
4,363,535,DevOps Engineer,"AWS, C++",Full-Time,CPT,No,San Jose,CA,USA,2021-10-16,2021-05-14,Handshake,104705,7192,4,Andrea Mosley,Apps,7
5,843,394,Product Manager,"Python, Kubernetes, .NET",Part-Time,Citizen,No,Kansas City,MO,USA,2021-07-23,2022-12-22,Handshake,71527,8617,2,Emily Riley,Security,9
6,843,449,ML Engineer,Hadoop,Contract,H1B,No,Somerville,MA,USA,2025-11-18,2025-02-28,Campus Career Fair,111860,8163,2,Adam Robinson,Security,5
7,130,326,Salesforce Developer,JavaScript,Intern,OPT,Yes,San Antonio,TX,USA,2023-07-31,2023-03-20,Indeed,76748,804,1,Sandra Burnett,SRE,16
8,543,545,Salesforce Developer,"AWS, R",Part-Time,STEM-OPT,No,Raleigh,NC,USA,2017-07-01,2024-12-14,Glassdoor,58794,13213,4,Mr. Brandon Mccall,Platform,19
9,469,174,Data Analyst,Java,Full-Time,STEM-OPT,Yes,Colorado Springs,CO,USA,2020-06-03,2021-05-15,Indeed,92517,6528,2,Robert Barker,Platform,3
10,964,827,Salesforce Developer,".NET, AWS",Contract,Citizen,No,San Antonio,TX,USA,2019-01-04,2021-11-06,LinkedIn,75385,6466,1,Sharon Robinson,Security,7
11,119,445,DevOps Engineer,"React, GCP, SQL",Part-Time,Citizen,No,Boston,MA,USA,2020-07-18,2025-02-28,Indeed,95297,7392,5,Charles Gibbs,Security,1
12,272,486,Product Manager,"Node.js, AWS",Full-Time,STEM-OPT,Yes,Cleveland,OH,USA,2025-04-03,2025-09-29,Glassdoor,127529,8992,3,Michelle Smith,Data,1
13,820,312,DevOps Engineer,JavaScript,Contract,CPT,No,Alpharetta,GA,USA,2019-11-04,2019-09-21,Company Site,132564,8759,1,Kenneth Castillo,Data,11
14,637,790,DevOps Engineer,"Node.js, GCP, Power BI",Full-Time,H1B,No,Scottsdale,AZ,USA,2024-10-12,2024-07-07,LinkedIn,93450,6859,3,Paul Ryan,Security,13
